Number,Verse
454,"John 3:10-15 10 “You are Israel’s teacher, and do you not understand these things? 11 Very truly I tell you, we speak of what we know, and we testify to what we have seen, but still you people do not accept our testimony. 12 I have spoken to you of earthly things and you do not believe; how then will you believe if I speak of heavenly things? 13 No one has ever gone into heaven except the one who came from heaven—the Son of Man. 14 Just as Moses lifted up the snake in the wilderness, so the Son of Man must be lifted up, 15 that everyone who believes may have eternal life in him.”"
455,John 4:7 “Will you give me a drink?”
456,"John 4:10 “If you knew the gift of God and who it is that asks you for a drink, you would have asked him and he would have given you living water.”"
457,"John 4:13-14 “Everyone who drinks this water will be thirsty again, 14 but whoever drinks the water I give them will never thirst. Indeed, the water I give them will become in them a spring of water welling up to eternal life.”"
458,"John 4:16 “Go, call your husband and come back.”"
459,"John 4:17-18 “You are right when you say you have no husband. 18 The fact is, you have had five husbands, and the man you now have is not your husband. What you have just said is quite true.”"
460,"John 4:21-24 21 “Woman,” Jesus replied, “believe me, a time is coming when you will worship the Father neither on this mountain nor in Jerusalem. 22 You Samaritans worship what you do not know; we worship what we do know, for salvation is from the Jews. 23 Yet a time is coming and has now come when the true worshipers will worship the Father in the Spirit and in truth, for they are the kind of worshipers the Father seeks. 24 God is spirit, and his worshipers must worship in the Spirit and in truth.”"
461,"John 4:26 “I, the one speaking to you—I am he.”"
462,John 4:32 “I have food to eat that you know nothing about.”
463,"John 4:34-38 34 “My food, is to do the will of him who sent me and to finish his work. 35 Don’t you have a saying, ‘It’s still four months until harvest’? I tell you, open your eyes and look at the fields! They are ripe for harvest. 36 Even now the one who reaps draws a wage and harvests a crop for eternal life, so that the sower and the reaper may be glad together. 37 Thus the saying ‘One sows and another reaps’ is true. 38 I sent you to reap what you have not worked for. Others have done the hard work, and you have reaped the benefits of their labor.”"
464,"John 4:48 48 “Unless you people see signs and wonders, you will never believe.”"
465,"John 4:50 50 “Go, your son will live.”"
466,John 4:53 “Your son will live.”
467,John 5:6 “Do you want to get well?”
468,John 5:8 “Get up! Pick up your mat and walk.”
469,John 5:11 ‘Pick up your mat and walk.’
470,"John 5:14 “See, you are well again. Stop sinning or something worse may happen to you.”"
471,"John 5:17 “My Father is always at his work to this very day, and I too am working.”"
472,"John 5:19-47 “Very truly I tell you, the Son can do nothing by himself; he can do only what he sees his Father doing, because whatever the Father does the Son also does. 20 For the Father loves the Son and shows him all he does. Yes, and he will show him even greater works than these, so that you will be amazed. 21 For just as the Father raises the dead and gives them life, even so the Son gives life to whom he is pleased to give it. 22 Moreover, the Father judges no one, but has entrusted all judgment to the Son, 23 that all may honor the Son just as they honor the Father. Whoever does not honor the Son does not honor the Father, who sent him. 24 “Very truly I tell you, whoever hears my word and believes him who sent me has eternal life and will not be judged but has crossed over from death to life. 25 Very truly I tell you, a time is coming and has now come when the dead will hear the voice of the Son of God and those who hear will live. 26 For as the Father has life in himself, so he has granted the Son also to have life in himself. 27 And he has given him authority to judge because he is the Son of Man. 28 “Do not be amazed at this, for a time is coming when all who are in their graves will hear his voice 29 and come out—those who have done what is good will rise to live, and those who have done what is evil will rise to be condemned. 30 By myself I can do nothing; I judge only as I hear, and my judgment is just, for I seek not to please myself but him who sent me. Testimonies About Jesus 31 “If I testify about myself, my testimony is not true. 32 There is another who testifies in my favor, and I know that his testimony about me is true. 33 “You have sent to John and he has testified to the truth. 34 Not that I accept human testimony; but I mention it that you may be saved. 35 John was a lamp that burned and gave light, and you chose for a time to enjoy his light. 36 “I have testimony weightier than that of John. For the works that the Father has given me to finish—the very works that I am doing—testify that the Father has sent me. 37 And the Father who sent me has himself testified concerning me. You have never heard his voice nor seen his form, 38 nor does his word dwell in you, for you do not believe the one he sent. 39 You study the Scriptures diligently because you think that in them you have eternal life. These are the very Scriptures that testify about me, 40 yet you refuse to come to me to have life. 41 “I do not accept glory from human beings, 42 but I know you. I know that you do not have the love of God in your hearts. 43 I have come in my Father’s name, and you do not accept me; but if someone else comes in his own name, you will accept him. 44 How can you believe since you accept glory from one another but do not seek the glory that comes from the only God? 45 “But do not think I will accuse you before the Father. Your accuser is Moses, on whom your hopes are set. 46 If you believed Moses, you would believe me, for he wrote about me. 47 But since you do not believe what he wrote, how are you going to believe what I say?”"
473,John 6:5 “Where shall we buy bread for these people to eat?”
474,John 6:10 “Have the people sit down.”
475,John 6:12 “Gather the pieces that are left over. Let nothing be wasted.”
476,John 6:20 “It is I; don’t be afraid.”
477,"John 6:26-27 “Very truly I tell you, you are looking for me, not because you saw the signs I performed but because you ate the loaves and had your fill. 27 Do not work for food that spoils, but for food that endures to eternal life, which the Son of Man will give you. For on him God the Father has placed his seal of approval.”"
478,John 6:29 “The work of God is this: to believe in the one he has sent.”
479,"John 6:32-33 “Very truly I tell you, it is not Moses who has given you the bread from heaven, but it is my Father who gives you the true bread from heaven. 33 For the bread of God is the bread that comes down from heaven and gives life to the world.”"
480,"John 6:35-40 “I am the bread of life. Whoever comes to me will never go hungry, and whoever believes in me will never be thirsty. 36 But as I told you, you have seen me and still you do not believe. 37 All those the Father gives me will come to me, and whoever comes to me I will never drive away. 38 For I have come down from heaven not to do my will but to do the will of him who sent me. 39 And this is the will of him who sent me, that I shall lose none of all those he has given me, but raise them up at the last day. 40 For my Father’s will is that everyone who looks to the Son and believes in him shall have eternal life, and I will raise them up at the last day.”"
481,"John 6:43-51 43 “Stop grumbling among yourselves,” 44 “No one can come to me unless the Father who sent me draws them, and I will raise them up at the last day. 45 It is written in the Prophets: ‘They will all be taught by God.’ Everyone who has heard the Father and learned from him comes to me. 46 No one has seen the Father except the one who is from God; only he has seen the Father. 47 Very truly I tell you, the one who believes has eternal life. 48 I am the bread of life. 49 Your ancestors ate the manna in the wilderness, yet they died. 50 But here is the bread that comes down from heaven, which anyone may eat and not die. 51 I am the living bread that came down from heaven. Whoever eats this bread will live forever. This bread is my flesh, which I will give for the life of the world.”"
482,"John 6:53-58 “Very truly I tell you, unless you eat the flesh of the Son of Man and drink his blood, you have no life in you. 54 Whoever eats my flesh and drinks my blood has eternal life, and I will raise them up at the last day. 55 For my flesh is real food and my blood is real drink. 56 Whoever eats my flesh and drinks my blood remains in me, and I in them. 57 Just as the living Father sent me and I live because of the Father, so the one who feeds on me will live because of me. 58 This is the bread that came down from heaven. Your ancestors ate manna and died, but whoever feeds on this bread will live forever.”"
483,John 6:61-64 “Does this offend you? 62 Then what if you see the Son of Man ascend to where he was before! 63 The Spirit gives life; the flesh counts for nothing. The words I have spoken to you—they are full of the Spirit and life. 64 Yet there are some of you who do not believe.”
484,John 6:65 “This is why I told you that no one can come to me unless the Father has enabled them.”
485,"John 6:67 67 “You do not want to leave too, do you?”"
486,"John 6:70 “Have I not chosen you, the Twelve? Yet one of you is a devil!”"
487,"John 7:6-8 “My time is not yet here; for you any time will do. 7 The world cannot hate you, but it hates me because I testify that its works are evil. 8 You go to the festival. I am not going up to this festival, because my time has not yet fully come.”"
488,"John 7:16-19 “My teaching is not my own. It comes from the one who sent me. 17 Anyone who chooses to do the will of God will find out whether my teaching comes from God or whether I speak on my own. 18 Whoever speaks on their own does so to gain personal glory, but he who seeks the glory of the one who sent him is a man of truth; there is nothing false about him. 19 Has not Moses given you the law? Yet not one of you keeps the law. Why are you trying to kill me?”"
489,"John 7:21-24 “I did one miracle, and you are all amazed. 22 Yet, because Moses gave you circumcision (though actually it did not come from Moses, but from the patriarchs), you circumcise a boy on the Sabbath. 23 Now if a boy can be circumcised on the Sabbath so that the law of Moses may not be broken, why are you angry with me for healing a man’s whole body on the Sabbath? 24 Stop judging by mere appearances, but instead judge correctly.”"
490,"John 7:28-29 “Yes, you know me, and you know where I am from. I am not here on my own authority, but he who sent me is true. You do not know him, 29 but I know him because I am from him and he sent me.”"
491,"John 7:33-34 “I am with you for only a short time, and then I am going to the one who sent me. 34 You will look for me, but you will not find me; and where I am, you cannot come.”"
492,"John 7:36 ‘You will look for me, but you will not find me,’ ‘Where I am, you cannot come’"
493,"John 7:37-38 “Let anyone who is thirsty come to me and drink. 38 Whoever believes in me, as Scripture has said, rivers of living water will flow from within them.”"
494,"John 8:12 “I am the light of the world. Whoever follows me will never walk in darkness, but will have the light of life.”"
495,"John 8:14-18 “Even if I testify on my own behalf, my testimony is valid, for I know where I came from and where I am going. But you have no idea where I come from or where I am going. 15 You judge by human standards; I pass judgment on no one. 16 But if I do judge, my decisions are true, because I am not alone. I stand with the Father, who sent me. 17 In your own Law it is written that the testimony of two witnesses is true. 18 I am one who testifies for myself; my other witness is the Father, who sent me.”"
496,"John 8:19 “You do not know me or my Father,” Jesus replied. “If you knew me, you would know my Father also.”"
497,"John 8:21 “I am going away, and you will look for me, and you will die in your sin. Where I go, you cannot come.”"
498,"John 8:23-24 “You are from below; I am from above. You are of this world; I am not of this world. 24 I told you that you would die in your sins; if you do not believe that I am he, you will indeed die in your sins.”"
499,"John 8:25-26 “Just what I have been telling you from the beginning,” 26 “I have much to say in judgment of you. But he who sent me is trustworthy, and what I have heard from him I tell the world.”"
500,"John 8:28-29 “When you have lifted up the Son of Man, then you will know that I am he and that I do nothing on my own but speak just what the Father has taught me. 29 The one who sent me is with me; he has not left me alone, for I always do what pleases him.”"
501,"John 8:31-32 “If you hold to my teaching, you are really my disciples. 32 Then you will know the truth, and the truth will set you free.”"
502,"John 8:34-38 “Very truly I tell you, everyone who sins is a slave to sin. 35 Now a slave has no permanent place in the family, but a son belongs to it forever. 36 So if the Son sets you free, you will be free indeed. 37 I know that you are Abraham’s descendants. Yet you are looking for a way to kill me, because you have no room for my word. 38 I am telling you what I have seen in the Father’s presence, and you are doing what you have heard from your father.”"
503,"John 8:39-41 “If you were Abraham’s children, then you would do what Abraham did. 40 As it is, you are looking for a way to kill me, a man who has told you the truth that I heard from God. Abraham did not do such things. 41 You are doing the works of your own father.”"
504,"John 8:42-47 “If God were your Father, you would love me, for I have come here from God. I have not come on my own; God sent me. 43 Why is my language not clear to you? Because you are unable to hear what I say. 44 You belong to your father, the devil, and you want to carry out your father’s desires. He was a murderer from the beginning, not holding to the truth, for there is no truth in him. When he lies, he speaks his native language, for he is a liar and the father of lies. 45 Yet because I tell the truth, you do not believe me! 46 Can any of you prove me guilty of sin? If I am telling the truth, why don’t you believe me? 47 Whoever belongs to God hears what God says. The reason you do not hear is that you do not belong to God.”"
505,"John 8:49-51 49 “I am not possessed by a demon, but I honor my Father and you dishonor me. 50 I am not seeking glory for myself; but there is one who seeks it, and he is the judge. 51 Very truly I tell you, whoever obeys my word will never see death.”"
506,"John 8:54-56 “If I glorify myself, my glory means nothing. My Father, whom you claim as your God, is the one who glorifies me. 55 Though you do not know him, I know him. If I said I did not, I would be a liar like you, but I do know him and obey his word. 56 Your father Abraham rejoiced at the thought of seeing my day; he saw it and was glad.”"
507,"John 8:58 58 “Very truly I tell you,” Jesus answered, “before Abraham was born, I am!”"
508,"John 9:3-5 3 “Neither this man nor his parents sinned,” said Jesus, “but this happened so that the works of God might be displayed in him. 4 As long as it is day, we must do the works of him who sent me. Night is coming, when no one can work. 5 While I am in the world, I am the light of the world.”"
509,"John 9:7 Go, wash in the pool of Siloam."
510,"John 9:11 7 “Go, wash in the Pool of Siloam”"
511,John 9:35 “Do you believe in the Son of Man?”
512,"John 9:37 “You have now seen him; in fact, he is the one speaking with you.”"
513,"John 9:39 “For judgment I have come into this world, so that the blind will see and those who see will become blind.”"
514,"John 9:41 “If you were blind, you would not be guilty of sin; but now that you claim you can see, your guilt remains."
515,"John 10:1-5 “Very truly I tell you Pharisees, anyone who does not enter the sheep pen by the gate, but climbs in by some other way, is a thief and a robber. 2 The one who enters by the gate is the shepherd of the sheep. 3 The gatekeeper opens the gate for him, and the sheep listen to his voice. He calls his own sheep by name and leads them out. 4 When he has brought out all his own, he goes on ahead of them, and his sheep follow him because they know his voice. 5 But they will never follow a stranger; in fact, they will run away from him because they do not recognize a stranger’s voice.”"
516,"John 10:7-18 “Very truly I tell you, I am the gate for the sheep. 8 All who have come before me are thieves and robbers, but the sheep have not listened to them. 9 I am the gate; whoever enters through me will be saved. They will come in and go out, and find pasture. 10 The thief comes only to steal and kill and destroy; I have come that they may have life, and have it to the full. 11 “I am the good shepherd. The good shepherd lays down his life for the sheep. 12 The hired hand is not the shepherd and does not own the sheep. So when he sees the wolf coming, he abandons the sheep and runs away. Then the wolf attacks the flock and scatters it. 13 The man runs away because he is a hired hand and cares nothing for the sheep. 14 “I am the good shepherd; I know my sheep and my sheep know me— 15 just as the Father knows me and I know the Father—and I lay down my life for the sheep. 16 I have other sheep that are not of this sheep pen. I must bring them also. They too will listen to my voice, and there shall be one flock and one shepherd. 17 The reason my Father loves me is that I lay down my life—only to take it up again. 18 No one takes it from me, but I lay it down of my own accord. I have authority to lay it down and authority to take it up again. This command I received from my Father.”"
517,"John 10:25-30 I did tell you, but you do not believe. The works I do in my Father’s name testify about me, 26 but you do not believe because you are not my sheep. 27 My sheep listen to my voice; I know them, and they follow me. 28 I give them eternal life, and they shall never perish; no one will snatch them out of my hand. 29 My Father, who has given them to me, is greater than all; no one can snatch them out of my Father’s hand. 30 I and the Father are one.”"
518,John 10:32 “I have shown you many good works from the Father. For which of these do you stone me?”
519,"John 10:34-38 “Is it not written in your Law, ‘I have said you are “gods”’? 35 If he called them ‘gods,’ to whom the word of God came—and Scripture cannot be set aside— 36 what about the one whom the Father set apart as his very own and sent into the world? Why then do you accuse me of blasphemy because I said, ‘I am God’s Son’? 37 Do not believe me unless I do the works of my Father. 38 But if I do them, even though you do not believe me, believe the works, that you may know and understand that the Father is in me, and I in the Father.”"
520,"John 11:4 “This sickness will not end in death. No, it is for God’s glory so that God’s Son may be glorified through it.”"
521,John 11:7 “Let us go back to Judea.”
522,"John 11:9-10 “Are there not twelve hours of daylight? Anyone who walks in the daytime will not stumble, for they see by this world’s light. 10 It is when a person walks at night that they stumble, for they have no light.”"
523,John 11:11 “Our friend Lazarus has fallen asleep; but I am going there to wake him up.”
524,"John 11:14-15 “Lazarus is dead, 15 and for your sake I am glad I was not there, so that you may believe. But let us go to him.”"
525,John 11:23 “Your brother will rise again.”
526,"John 11:25-26 “I am the resurrection and the life. The one who believes in me will live, even though they die; 26 and whoever lives by believing in me will never die. Do you believe this?”"
527,John 11:34 34 “Where have you laid him?”
528,"John 11:39 39 “Take away the stone,”"
529,"John 11:40 “Did I not tell you that if you believe, you will see the glory of God?”"
530,"John 11:41-42 “Father, I thank you that you have heard me. 42 I knew that you always hear me, but I said this for the benefit of the people standing here, that they may believe that you sent me.”"
531,"John 11:43 “Lazarus, come out!”"
532,John 11:44 “Take off the grave clothes and let him go.”
533,"John 12:7-8 7 “Leave her alone, It was intended that she should save this perfume for the day of my burial. 8 You will always have the poor among you, but you will not always have me.”"
534,"John 12:23-28 “The hour has come for the Son of Man to be glorified. 24 Very truly I tell you, unless a kernel of wheat falls to the ground and dies, it remains only a single seed. But if it dies, it produces many seeds. 25 Anyone who loves their life will lose it, while anyone who hates their life in this world will keep it for eternal life. 26 Whoever serves me must follow me; and where I am, my servant also will be. My Father will honor the one who serves me. 27 “Now my soul is troubled, and what shall I say? ‘Father, save me from this hour’? No, it was for this very reason I came to this hour. 28 Father, glorify your name!”"
535,"John 12:30-32 “This voice was for your benefit, not mine. 31 Now is the time for judgment on this world; now the prince of this world will be driven out. 32 And I, when I am lifted up from the earth, will draw all people to myself.”"
536,John 12:34 ‘The Son of Man must be lifted up’
537,"John 12:35-36 “You are going to have the light just a little while longer. Walk while you have the light, before darkness overtakes you. Whoever walks in the dark does not know where they are going. 36 Believe in the light while you have the light, so that you may become children of light.”"
538,"John 12:44-50 “Whoever believes in me does not believe in me only, but in the one who sent me. 45 The one who looks at me is seeing the one who sent me. 46 I have come into the world as a light, so that no one who believes in me should stay in darkness. 47 “If anyone hears my words but does not keep them, I do not judge that person. For I did not come to judge the world, but to save the world. 48 There is a judge for the one who rejects me and does not accept my words; the very words I have spoken will condemn them at the last day. 49 For I did not speak on my own, but the Father who sent me commanded me to say all that I have spoken. 50 I know that his command leads to eternal life. So whatever I say is just what the Father has told me to say.”"
539,"John 13:7 “You do not realize now what I am doing, but later you will understand.”"
540,"John 13:10 “Those who have had a bath need only to wash their feet; their whole body is clean. And you are clean, though not every one of you.”"
541,"John 13:12-20 “Do you understand what I have done for you?” 13 “You call me ‘Teacher’ and ‘Lord,’ and rightly so, for that is what I am. 14 Now that I, your Lord and Teacher, have washed your feet, you also should wash one another’s feet. 15 I have set you an example that you should do as I have done for you. 16 Very truly I tell you, no servant is greater than his master, nor is a messenger greater than the one who sent him. 17 Now that you know these things, you will be blessed if you do them. 18 “I am not referring to all of you; I know those I have chosen. But this is to fulfill this passage of Scripture: ‘He who shared my bread has turned against me.’ 19 “I am telling you now before it happens, so that when it does happen you will believe that I am who I am. 20 Very truly I tell you, whoever accepts anyone I send accepts me; and whoever accepts me accepts the one who sent me.”"
542,John 13:26 “It is the one to whom I will give this piece of bread when I have dipped it in the dish.”
543,"John 13:27 “What you are about to do, do quickly.”"
544,"John 13:31-35 “Now the Son of Man is glorified and God is glorified in him. 32 If God is glorified in him, God will glorify the Son in himself, and will glorify him at once. 33 “My children, I will be with you only a little longer. You will look for me, and just as I told the Jews, so I tell you now: Where I am going, you cannot come. 34 “A new command I give you: Love one another. As I have loved you, so you must love one another. 35 By this everyone will know that you are my disciples, if you love one another.”"
545,"John 13:36 “Where I am going, you cannot follow now, but you will follow later.”"
546,"John 13:38 “Will you really lay down your life for me? Very truly I tell you, before the rooster crows, you will disown me three times!"
547,"John 14:1-4 “Do not let your hearts be troubled. You believe in God; believe also in me. 2 My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you? 3 And if I go and prepare a place for you, I will come back and take you to be with me that you also may be where I am. 4 You know the way to the place where I am going.”"
548,"John 14:6-7 “I am the way and the truth and the life. No one comes to the Father except through me. 7 If you really know me, you will know my Father as well. From now on, you do know him and have seen him.”"
549,"John 14:9-21 “Don’t you know me, Philip, even after I have been among you such a long time? Anyone who has seen me has seen the Father. How can you say, ‘Show us the Father’? 10 Don’t you believe that I am in the Father, and that the Father is in me? The words I say to you I do not speak on my own authority. Rather, it is the Father, living in me, who is doing his work. 11 Believe me when I say that I am in the Father and the Father is in me; or at least believe on the evidence of the works themselves. 12 Very truly I tell you, whoever believes in me will do the works I have been doing, and they will do even greater things than these, because I am going to the Father. 13 And I will do whatever you ask in my name, so that the Father may be glorified in the Son. 14 You may ask me for anything in my name, and I will do it. 15 “If you love me, keep my commands. 16 And I will ask the Father, and he will give you another advocate to help you and be with you forever— 17 the Spirit of truth. The world cannot accept him, because it neither sees him nor knows him. But you know him, for he lives with you and will be in you. 18 I will not leave you as orphans; I will come to you. 19 Before long, the world will not see me anymore, but you will see me. Because I live, you also will live. 20 On that day you will realize that I am in my Father, and you are in me, and I am in you. 21 Whoever has my commands and keeps them is the one who loves me. The one who loves me will be loved by my Father, and I too will love them and show myself to them.”"
550,"John 14:23-31 “Anyone who loves me will obey my teaching. My Father will love them, and we will come to them and make our home with them. 24 Anyone who does not love me will not obey my teaching. These words you hear are not my own; they belong to the Father who sent me. 25 “All this I have spoken while still with you. 26 But the Advocate, the Holy Spirit, whom the Father will send in my name, will teach you all things and will remind you of everything I have said to you. 27 Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid. 28 “You heard me say, ‘I am going away and I am coming back to you.’ If you loved me, you would be glad that I am going to the Father, for the Father is greater than I. 29 I have told you now before it happens, so that when it does happen you will believe. 30 I will not say much more to you, for the prince of this world is coming. He has no hold over me, 31 but he comes so that the world may learn that I love the Father and do exactly what my Father has commanded me. “Come now; let us leave."
551,"John 15:1-27 “I am the true vine, and my Father is the gardener. 2 He cuts off every branch in me that bears no fruit, while every branch that does bear fruit he prunes so that it will be even more fruitful. 3 You are already clean because of the word I have spoken to you. 4 Remain in me, as I also remain in you. No branch can bear fruit by itself; it must remain in the vine. Neither can you bear fruit unless you remain in me. 5 “I am the vine; you are the branches. If you remain in me and I in you, you will bear much fruit; apart from me you can do nothing. 6 If you do not remain in me, you are like a branch that is thrown away and withers; such branches are picked up, thrown into the fire and burned. 7 If you remain in me and my words remain in you, ask whatever you wish, and it will be done for you. 8 This is to my Father’s glory, that you bear much fruit, showing yourselves to be my disciples. 9 “As the Father has loved me, so have I loved you. Now remain in my love. 10 If you keep my commands, you will remain in my love, just as I have kept my Father’s commands and remain in his love. 11 I have told you this so that my joy may be in you and that your joy may be complete. 12 My command is this: Love each other as I have loved you. 13 Greater love has no one than this: to lay down one’s life for one’s friends. 14 You are my friends if you do what I command. 15 I no longer call you servants, because a servant does not know his master’s business. Instead, I have called you friends, for everything that I learned from my Father I have made known to you. 16 You did not choose me, but I chose you and appointed you so that you might go and bear fruit—fruit that will last—and so that whatever you ask in my name the Father will give you. 17 This is my command: Love each other. 18 “If the world hates you, keep in mind that it hated me first. 19 If you belonged to the world, it would love you as its own. As it is, you do not belong to the world, but I have chosen you out of the world. That is why the world hates you. 20 Remember what I told you: ‘A servant is not greater than his master.’ If they persecuted me, they will persecute you also. If they obeyed my teaching, they will obey yours also. 21 They will treat you this way because of my name, for they do not know the one who sent me. 22 If I had not come and spoken to them, they would not be guilty of sin; but now they have no excuse for their sin. 23 Whoever hates me hates my Father as well. 24 If I had not done among them the works no one else did, they would not be guilty of sin. As it is, they have seen, and yet they have hated both me and my Father. 25 But this is to fulfill what is written in their Law: ‘They hated me without reason.’ 26 “When the Advocate comes, whom I will send to you from the Father—the Spirit of truth who goes out from the Father—he will testify about me. 27 And you also must testify, for you have been with me from the beginning."
552,"John 16:1-16 “All this I have told you so that you will not fall away. 2 They will put you out of the synagogue; in fact, the time is coming when anyone who kills you will think they are offering a service to God. 3 They will do such things because they have not known the Father or me. 4 I have told you this, so that when their time comes you will remember that I warned you about them. I did not tell you this from the beginning because I was with you, 5 but now I am going to him who sent me. None of you asks me, ‘Where are you going?’ 6 Rather, you are filled with grief because I have said these things. 7 But very truly I tell you, it is for your good that I am going away. Unless I go away, the Advocate will not come to you; but if I go, I will send him to you. 8 When he comes, he will prove the world to be in the wrong about sin and righteousness and judgment: 9 about sin, because people do not believe in me; 10 about righteousness, because I am going to the Father, where you can see me no longer; 11 and about judgment, because the prince of this world now stands condemned. 12 “I have much more to say to you, more than you can now bear. 13 But when he, the Spirit of truth, comes, he will guide you into all the truth. He will not speak on his own; he will speak only what he hears, and he will tell you what is yet to come. 14 He will glorify me because it is from me that he will receive what he will make known to you. 15 All that belongs to the Father is mine. That is why I said the Spirit will receive from me what he will make known to you. In a little while you will see me no more, and then after a little while you will see me.”"
553,"John 16:17 ‘In a little while you will see me no more, and then after a little while you will see me, Because I am going to the Father’"
554,John 16:18 ‘a little while’
555,"John 16:19-28 “Are you asking one another what I meant when I said, ‘In a little while you will see me no more, and then after a little while you will see me’? 20 Very truly I tell you, you will weep and mourn while the world rejoices. You will grieve, but your grief will turn to joy. 21 A woman giving birth to a child has pain because her time has come; but when her baby is born she forgets the anguish because of her joy that a child is born into the world. 22 So with you: Now is your time of grief, but I will see you again and you will rejoice, and no one will take away your joy. 23 In that day you will no longer ask me anything. Very truly I tell you, my Father will give you whatever you ask in my name. 24 Until now you have not asked for anything in my name. Ask and you will receive, and your joy will be complete. 25 “Though I have been speaking figuratively, a time is coming when I will no longer use this kind of language but will tell you plainly about my Father. 26 In that day you will ask in my name. I am not saying that I will ask the Father on your behalf. 27 No, the Father himself loves you because you have loved me and have believed that I came from God. 28 I came from the Father and entered the world; now I am leaving the world and going back to the Father.”"
556,"John 16:31-33 31 “Do you now believe?” 32 “A time is coming and in fact has come when you will be scattered, each to your own home. You will leave me all alone. Yet I am not alone, for my Father is with me. 33 “I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.”"
557,"John 17:1-26 “Father, the hour has come. Glorify your Son, that your Son may glorify you. 2 For you granted him authority over all people that he might give eternal life to all those you have given him. 3 Now this is eternal life: that they know you, the only true God, and Jesus Christ, whom you have sent. 4 I have brought you glory on earth by finishing the work you gave me to do. 5 And now, Father, glorify me in your presence with the glory I had with you before the world began. 6 “I have revealed you to those whom you gave me out of the world. They were yours; you gave them to me and they have obeyed your word. 7 Now they know that everything you have given me comes from you. 8 For I gave them the words you gave me and they accepted them. They knew with certainty that I came from you, and they believed that you sent me. 9 I pray for them. I am not praying for the world, but for those you have given me, for they are yours. 10 All I have is yours, and all you have is mine. And glory has come to me through them. 11 I will remain in the world no longer, but they are still in the world, and I am coming to you. Holy Father, protect them by the power of your name, the name you gave me, so that they may be one as we are one. 12 While I was with them, I protected them and kept them safe by that name you gave me. None has been lost except the one doomed to destruction so that Scripture would be fulfilled. 13 “I am coming to you now, but I say these things while I am still in the world, so that they may have the full measure of my joy within them. 14 I have given them your word and the world has hated them, for they are not of the world any more than I am of the world. 15 My prayer is not that you take them out of the world but that you protect them from the evil one. 16 They are not of the world, even as I am not of it. 17 Sanctify them by the truth; your word is truth. 18 As you sent me into the world, I have sent them into the world. 19 For them I sanctify myself, that they too may be truly sanctified. 20 “My prayer is not for them alone. I pray also for those who will believe in me through their message, 21 that all of them may be one, Father, just as you are in me and I am in you. May they also be in us so that the world may believe that you have sent me. 22 I have given them the glory that you gave me, that they may be one as we are one— 23 I in them and you in me—so that they may be brought to complete unity. Then the world will know that you sent me and have loved them even as you have loved me. 24 “Father, I want those you have given me to be with me where I am, and to see my glory, the glory you have given me because you loved me before the creation of the world. 25 “Righteous Father, though the world does not know you, I know you, and they know that you have sent me. 26 I have made you known to them, and will continue to make you known in order that the love you have for me may be in them and that I myself may be in them.”"
558,John 18:4 “Who is it you want?”
559,John 18:5 I am he.
560,John 18:6 I am he
561,John 18:7 “Who is it you want?”
562,"John 18:8 “I told you that I am he. If you are looking for me, then let these men go.”"
563,John 18:9 “I have not lost one of those you gave me.”
564,John 18:11 “Put your sword away! Shall I not drink the cup the Father has given me?”
565,"John 18:20-21 20 “I have spoken openly to the world, I always taught in synagogues or at the temple, where all the Jews come together. I said nothing in secret. 21 Why question me? Ask those who heard me. Surely they know what I said.”"
566,"John 18:23 23 “If I said something wrong, testify as to what is wrong. But if I spoke the truth, why did you strike me?”"
567,"John 18:34 34 “Is that your own idea, or did others talk to you about me?”"
568,"John 18:36 “My kingdom is not of this world. If it were, my servants would fight to prevent my arrest by the Jewish leaders. But now my kingdom is from another place.”"
569,"John 18:37 “You say that I am a king. In fact, the reason I was born and came into the world is to testify to the truth. Everyone on the side of truth listens to me.”"
570,John 19:11 “You would have no power over me if it were not given to you from above. Therefore the one who handed me over to you is guilty of a greater sin.”
571,"John 19:26 “Woman, here is your son,”"
572,John 19:27 “Here is your mother.”
573,John 19:28 “I am thirsty.”
574,John 19:30 “It is finished.”
575,"John 20:15 “Woman, why are you crying? Who is it you are looking for?”"
576,John 20:16 “Mary.“
577,"John 20:17 “Do not hold on to me, for I have not yet ascended to the Father. Go instead to my brothers and tell them, ‘I am ascending to my Father and your Father, to my God and your God.’”"
578,John 20:19 “Peace be with you!”
579,"John 20:21 “Peace be with you! As the Father has sent me, I am sending you.”"
580,"John 20:23 “Receive the Holy Spirit. 23 If you forgive anyone’s sins, their sins are forgiven; if you do not forgive them, they are not forgiven.”"
581,John 20:26 “Peace be with you!”
582,John 20:27 “Put your finger here; see my hands. Reach out your hand and put it into my side. Stop doubting and believe.”
583,"John 20:29 “Because you have seen me, you have believed; blessed are those who have not seen and yet have believed.”"
584,"John 21:5 “Friends, haven’t you any fish?”"
585,John 21:6 “Throw your net on the right side of the boat and you will find some.”
586,John 21:10 “Bring some of the fish you have just caught.”
587,John 21:12 “Come and have breakfast.”
588,"John 21:15 “Simon son of John, do you love me more than these?” “Feed my lambs.”"
589,"John 21:16 “Simon son of John, do you love me?”"
